matched term,file name,match line number,know option,think option,verb,token,force,comp,subj,unique id,multi verb context,child,interaction,context pre 1,context pre 2,context pre 3,context pre 4,context pre 5,context pre 6,context pre 7,context pre 8,context pre 9,context pre 10,matched line,context post 1,context post 2,Sample Set,factors
do you know that this car comes apart?,martin mothertoy.cha,280,know,think,know,know,interrogative,declarative,2,4.012,yes,martin,mother,MOTHER: do you know what this is?,CHILD: ...car... what's this?,CHILD: [noise],MOTHER: you wanna play with this car?,MOTHER: you want me to show you how it works?,MOTHER: do you know what... do you know what this is?,MOTHER: that's a screwdriver.,CHILD: uhhuh I wanna use it.,CHILD: [noise],MOTHER: do you what takes a…,MOTHER: do you know that this car comes apart?,MOTHER: do you know that you can unscrew this right here?,CHILD: yeah.,666,know-interrogative-declarative
I think you might like them.,nanette dinner.cha,221,know,think,think,think,declarative,declarative,1,2.062,no,nanette,dinner,FATHER: did you buy these fresh?,MOTHER: yeah.,MOTHER: I just bought them today.,MOTHER: they're like...,FATHER: that's  why.,"MOTHER: oh, cause they was out of season?",CHILD: they're hot.,FATHER: you haven't...  you haven't seen then that fresh.,MOTHER: that's what it is.,MOTHER: but they're... they're like little cabbages.,MOTHER: I think you might like them.,"MOTHER: they might be too hot, though.",MOTHER: try it and see.,666,think-declarative-declarative
do you know what she's wearing?,nanette mothertoy.cha,1924,know,think,know,know,interrogative,interrogative,2,6.276,yes,nanette,mother,MOTHER: what's he doing?,CHILD: what... what... what Puddy doing?,MOTHER: what is he doing?,CHILD: what's Puddy doing?,MOTHER: there's Puddy right there.,MOTHER: but look at the little boy.,MOTHER: the little boy is in the carriage.,MOTHER: I don't know.,MOTHER: this is a... funny mixed up story.,"MOTHER: oh, look it, they're pretending now to have a tea party.",MOTHER: do you know what she's wearing?,CHILD: a hat.,MOTHER: do you know what kind of hat that is?,666,know-interrogative-interrogative
I think that maybe we're not supposed to open it.,nanette mothertoy.cha,1096,know,think,think,think,declarative,declarative,1,2.417,yes,nanette,mother,MOTHER: there's nothing in the box.,"MOTHER: this, Nanette, is... is baby oatmeal.",MOTHER: this is…,MOTHER: when you were a little tiny baby the first thing I ever gave you to eat… was baby oatmeal.,MOTHER: and it came in a little tiny box like this.,MOTHER: and you only haved a little tablespoonful.,MOTHER: you eat a lot more than that now.,CHILD: it's too hard for me.,MOTHER: I know.,MOTHER: it was too hard for me too.,MOTHER: I think that maybe we're not supposed to open it.,MOTHER: that's why it's so hard.,"CHILD: you... have that, Mommy.",666,think-declarative-declarative
did you know this is a tunnel?,nanette mothertoy.cha,1553,know,think,know,know,interrogative,declarative,2,4.017,yes,nanette,mother,MOTHER: do you know what that means?,MOTHER: when Mommy does that to you what does it mean?,CHILD: [giggles],MOTHER: it means...,MOTHER: come here.,"CHILD: come here, kitty.",MOTHER: yeah.,MOTHER: come here kitty.,"MOTHER: oh, you know it isn't a mirror!",MOTHER: I don't know.,MOTHER: did you know this is a tunnel?,MOTHER: you see?,"MOTHER: there's a big hole, and it goes through here, and it comes out this side.",1,know-interrogative-declarative
yeah I know what he wants.,olivia dinner.cha,567,know,think,know,know,declarative,interrogative,1,3.014,no,olivia,dinner,FATHER: they're unreal.,MOTHER: was he [noise] that night?,FATHER: he was on that night yeah.,FATHER: he's a good public relations man.,FATHER: he sent residents to the party while he stayed in the hospital.,CHILD: wah!,FATHER: all public relations.,CHILD: wah!,"MOTHER: ooo, what's the matter?",CHILD: wah wah.,MOTHER: yeah I know what he wants.,MOTHER: ...you tired little fella?,FATHER: are you tired little fella?,666,know-declarative-interrogative
"I think they're all empty, pet.",olivia fathertoy.cha,685,know,think,think,think,declarative,declarative,1,2.17,no,olivia,father,FATHER: put the milk in it.,CHILD: huh?,FATHER: haven't you got a bottle of milk?,CHILD: no.,"FATHER: yes, ya have.",FATHER: there's the pretend bottle of milk.,FATHER: can I have some?,CHILD: [laughs] no.,CHILD: it goes up here.,FATHER: okay.,"FATHER: I think they're all empty, pet.",FATHER: every one of them are empty.,CHILD: what's in here?,666,think-declarative-declarative
do you think you might like to try the car again?,olivia mothertoy.cha,2590,know,think,think,think,interrogative,declarative,2,5.041,no,olivia,mother,MOTHER: hmm?,CHILD: where'd ya sleep?,MOTHER: go... I'm gonna go into my bed.,CHILD: huh?,MOTHER: can I sleep in your bed?,MOTHER: no?,CHILD: no.,MOTHER: can I go on the sofa?,INVESTIGATOR: [noise],CHILD: Sandy.,INVESTIGATOR: do you think you might like to try the car again?,MOTHER: the car?,MOTHER: okay.,666,think-interrogative-declarative
I know why I'm standing up.,patricia dinner.cha,2007,know,think,know,know,declarative,interrogative,1,3.003,no,patricia,dinner,"FATHER: I showed her that, but…",FATHER: look at it after dinner if you want.,FATHER: eat your pickle.,FATHER: I gave you a pickle to eat.,FATHER: Usher likes pickles.,CHILD: mum num.,FATHER: [noise],CHILD: [noise],MOTHER: what.,FATHER: alright.,FATHER: I know why I'm standing up.,FATHER: I wanna call Michael.,MOTHER: the french fries are all gone.,666,know-declarative-interrogative
but you know what you could use this as?,patricia fathertoy.cha,971,know,think,know,know,interrogative,interrogative,2,6.096,yes,patricia,father,"FATHER: alright, what's this?",FATHER: do you know what this is?,CHILD: what?,"FATHER: we... Your... your Emma and I don't drink any of this stuff, so you don't know.",FATHER: do you know what coffee…,FATHER: do you have to go to the bathroom?,CHILD: no.,FATHER: no.,FATHER: um it's a coffee.,FATHER: coffee comes in here.,FATHER: but you know what you could use this as?,CHILD: what?,FATHER: a what?,666,know-interrogative-interrogative
do you know what that is?,patricia mothertoy.cha,1415,know,think,know,know,interrogative,interrogative,2,6.259,no,patricia,mother,MOTHER: that's what we have?,CHILD: yeah.,MOTHER: is ours a little one like this?,CHILD: yes.,MOTHER: wow.,MOTHER: this one's old.,MOTHER: huh.,MOTHER: what else?,CHILD: um.,MOTHER: what else should we buy?,MOTHER: do you know what that is?,CHILD: um.,CHILD: look at this.,666,know-interrogative-interrogative
I think this is called a wrench.,patricia mothertoy.cha,121,know,think,think,think,declarative,declarative,1,2.147,no,patricia,mother,CHILD: a banger.,MOTHER: a what?,CHILD: a banger.,MOTHER: a banger?,CHILD: yeah.,MOTHER: oh?,MOTHER: what's a banger?,CHILD: that's a screwdriver.,MOTHER: that's like a screwdriver.,MOTHER: very good.,MOTHER: I think this is called a wrench.,CHILD: yeah.,MOTHER: yes.,666,think-declarative-declarative
you know what a screwdriver does Richard?,richard mothertoy.cha,2423,know,think,know,know,interrogative,interrogative,2,6.058,no,richard,mother,MOTHER: no.,CHILD: right here?,CHILD: oh.,CHILD: right here.,MOTHER: well... close.,MOTHER: bring the car back over here.,MOTHER: and I'll show you.,MOTHER: I'll help you with it.,CHILD: okay.,MOTHER: but bring back the other pieces also.,MOTHER: you know what a screwdriver does Richard?,CHILD: yeah.,MOTHER: what does a screwdriver do?,666,know-interrogative-interrogative
"...do you know that the steering wheel comes off, Richard?",richard mothertoy.cha,558,know,think,know,know,interrogative,declarative,2,4.014,yes,richard,mother,MOTHER: we're gonna hafta leave this part.,MOTHER: good.,MOTHER: I think maybe we'd better put the tire back in.,CHILD: where's this go?,MOTHER: you think maybe we'd better put the tire back in before we start with anything else?,CHILD: where's this go?,CHILD: where's this go?,CHILD: where's this go Mommy?,"MOTHER: Richard, let me see.",MOTHER: this goes right here.,"MOTHER: ...do you know that the steering wheel comes off, Richard?",CHILD: yes.,MOTHER: you wanna see how the steering wheel comes off?,1,know-interrogative-declarative
but Craig isn't so happy any more cause he thought he was going to be able to get it.,susan mothertoy.cha,2335,knew,thought,think,thought,declarative,declarative,3,2.022,no,susan,mother,"MOTHER:  ""you have to be gentle with my pussy cat.""",MOTHER: the pussy cat gets off of Charlie's face and starts running up… the tree.,MOTHER: this pussy cat is really trying very hard not to get caught.,MOTHER: he climbs up the tree and he jumps over to this branch.,MOTHER: now he doesn't have any place to go so Charlie reaches over and gets a hold of the cat and picks up the cat by the back of his neck,MOTHER: and that doesn't bother the pussy cat.,MOTHER: cats don't mind being picked up that way.,CHILD: ouch.,MOTHER: oh I'm sorry.,MOTHER: um and here's Mathilda ever so happy... that Charlie got the cat.,MOTHER: but Craig isn't so happy any more cause he thought he was going to be able to get it.,MOTHER: just then what happens?,MOTHER: look it there.,666,think-declarative-declarative
you know that  in about a month we're going to Florida?,theresa dinner.cha,1045,know,think,know,know,interrogative,declarative,2,4.007,yes,theresa,dinner,MOTHER: [noise],FATHER: who?,"CHILD: I don't see any noisemakers, ha!",MOTHER: haha… haha.,CHILD: and then we saw some tom... tomato juice on somebod... on somebody's head….,FATHER: hmm.,MOTHER: [noise] ya know what I think?,CHILD: what?,MOTHER: [laugh] I think you're making up a big story.,CHILD: I'm not!,FATHER: you know that  in about a month we're going to Florida?,CHILD: Daddy!,CHILD: are you there?,666,know-interrogative-declarative
oh did she know that was the cat in there?,theresa mothertoy.cha,196,know,think,know,know,interrogative,declarative,3,4.001,yes,theresa,mother,CHILD: yeah.,MOTHER: okay.,MOTHER: turn the page now?,CHILD: yes.,MOTHER: okay.,CHILD: and then... and then the um…,MOTHER: [noise] the picture first.,CHILD: and then  the cat fell out when when she was um picking the flowers.,CHILD: and then... then she no baby.,CHILD: an the... an the cloth fell out.,MOTHER: oh did she know that was the cat in there?,MOTHER: or... was the baby that she thought?,CHILD: she thought that a cat was there.,666,know-interrogative-declarative
you think  that might be a good idea?,ursula fathertoy.cha,1147,know,think,think,think,interrogative,declarative,2,5.017,yes,ursula,father,FATHER: uhhuh.,CHILD: ...I'm all done now I'm almost...,FATHER: well… you didn't take it off though.,FATHER: don't you think we should take that off?,CHILD: yeah.,FATHER: how bout if Dad takes it off?,FATHER: and you try to put it back together again?,CHILD: yeah.,CHILD: take…,FATHER: take that out of my…,FATHER: you think  that might be a good idea?,CHILD: yeah…,FATHER: well let's try that.,666,think-interrogative-declarative
did you know there was a store in here?,ursula fathertoy.cha,2011,know,think,know,know,interrogative,declarative,2,4.019,no,ursula,father,FATHER: you're not…,CHILD: you hafta do it at the bottom and then it comes out like this.,FATHER: oh?,CHILD: yeah.,CHILD: can you fix the car like this?,FATHER: I'll tell you what.,FATHER: why don't we put…,FATHER: Dad'll put the car back.,FATHER: why don't you go take a look over here and see what they have at the store?,CHILD: what store?,FATHER: did you know there was a store in here?,CHILD: yeah.,CHILD: [noise],666,know-interrogative-declarative
I know what  that is.,ursula fathertoy.cha,3671,know,think,know,know,declarative,interrogative,1,3.01,yes,ursula,father,INVESTIGATOR: I brought you a present for today's visit.,"CHILD: look, Daddy.","FATHER: what's that, Urs?",CHILD: I don't know.,CHILD: I can't open it.,CHILD: it's too tight to...,INVESTIGATOR: it is pretty tight.,INVESTIGATOR: that's just for today's visit.,FATHER: [gasp],INVESTIGATOR: we have another present for her second visit.,FATHER: I know what  that is.,CHILD: what is it?,FATHER: that's bubbles [noise].,666,know-declarative-interrogative
I know I definitely need cereal.,ursula mothertoy.cha,864,know,think,know,know,declarative,declarative,1,1.021,no,ursula,mother,MOTHER: what do you wanna do?,MOTHER: how .,MOTHER: are you gonna… are we gonna buy something at the store?,CHILD: no.,CHILD: you… you buy the money and then you git one.,MOTHER: am I supposed to buy thing from you?,MOTHER: are you a lady that works in the store?,"CHILD: um, yeah.",MOTHER: oh... okay... you're a lady that works there.,"MOTHER: let me see now, what would I like to buy today?",MOTHER: I know I definitely need cereal.,MOTHER: may I have a box of Rice Krispies and a box of corn flakes?,CHILD: we don't have Rice Krispies.,666,know-declarative-declarative
"course he knows where she is, he's peeking at her from behind the tree.",ursula mothertoy.cha,1699,knows,thinks,know,knows,declarative,interrogative,3,3.018,no,ursula,mother,CHILD: me.,"MOTHER: [laughs] she's giving her kitty cat a little ride in the carriage, huh?",CHILD: yeah.,MOTHER: oh oh [gasp]!,MOTHER: look what happened.,"MOTHER: she's bending over to pick a very pretty flower, and... the cat doesn't like the ride.",MOTHER: cats don't usually like to ride too well so... he's trying to run out of the carriage when she's not looking.,MOTHER: she turns around and she goes.,"MOTHER:  ""oh no.""",MOTHER: she sees the blanket on the ground and the cat's gone.,"MOTHER: course he knows where she is, he's peeking at her from behind the tree.",MOTHER: she runs off to get a policeman because she can't find her cat.,MOTHER: she's really kind of worried.,666,know-declarative-interrogative
I know he's awfully tired.,ursula mothertoy.cha,2065,know,think,know,know,declarative,declarative,1,1.022,yes,ursula,mother,"MOTHER: well the branch wasn't strong enough to hold him, so he's gonna fall.",CHILD: [noise],"MOTHER: thud, right on the ground.",MOTHER: well. they're all kind of battered and bruised and they're tired of trying to find that cat.,MOTHER: there he…,MOTHER: look at him.,MOTHER: he's walking along behind just as... like nothing happened.,MOTHER: proud as can be.,CHILD: is... is he a baby?,"MOTHER: no, I think he's kind of tired out so they put him in the carriage… I guess.",MOTHER: I know he's awfully tired.,MOTHER: look at him.,MOTHER: he ca... he's sitting down resting.,666,know-declarative-declarative
you think that's funny?,ursula mothertoy.cha,2010,know,think,think,think,interrogative,declarative,2,5.015,no,ursula,mother,MOTHER: he climbs up the tree.,CHILD: [laughs],"MOTHER: the kitty cat's hanging on by one limb, grabs a hold of him.",CHILD: [giggles],MOTHER: whoops... there goes the branch.,MOTHER: it's ready to crack.,MOTHER: oh oh.,MOTHER: there it goes snap!,"MOTHER: aw, he's fallen down.",CHILD: [laughs],MOTHER: you think that's funny?,CHILD: [laughs] what happened?,MOTHER: the man…,666,think-interrogative-declarative
I think we oughta try an put this car back together again.,ursula mothertoy.cha,2122,know,think,think,think,declarative,declarative,1,2.116,yes,ursula,mother,MOTHER: and the little girl.,MOTHER: I don't know what she's up to.,MOTHER: oh she says.,"MOTHER: ""wait a minute.""","MOTHER: and she goes in the house, and she comes out with some iced tea… and cookies.",MOTHER: oh!,"MOTHER: she figures they need a little refreshment after trying to catch the kitty cat, huh?","MOTHER: they all look rather happy, don't they?",CHILD: now... now can we…,MOTHER: I think you know what we oughta do?,MOTHER: I think we oughta try an put this car back together again.,CHILD: but how can... can you.,MOTHER: the way we found it.,666,think-declarative-declarative
I knew it kept spinning and it wasn't doing any good.,ursula mothertoy.cha,3370,knew,thought,know,knew,declarative,declarative,1,1.023,yes,ursula,mother,CHILD: that goes  in the back.,MOTHER: there's a thing that goes in the o.,CHILD: um… this goes in the front because it…,MOTHER: that's the wheel.,MOTHER: oh.,CHILD: [noise],MOTHER: that's why.,MOTHER: here.,MOTHER: this goes here.,MOTHER: that's why…,MOTHER: I knew it kept spinning and it wasn't doing any good.,MOTHER: there ya go.,MOTHER: this goes in here like this.,666,know-declarative-declarative
you think I have enough?,ursula mothertoy.cha,1107,know,think,think,think,interrogative,declarative,2,5.024,no,ursula,mother,MOTHER: we can always use that.,CHILD: and here's some milk.,"MOTHER: milk, huh?",CHILD: some more kinds of milk.,MOTHER: okay.,CHILD: you get…,"MOTHER: gee that's gonna be awfully expensive, isn't it?",CHILD: no…,MOTHER: is it gonna cost lots of money?,CHILD: well it cost a lot of money but…,MOTHER: you think I have enough?,CHILD: well maybe.,CHILD: I hafta get some more... that's all money.,1,think-interrogative-declarative
I know it's not a big favor [laughs].,victor dinner.cha,3411,know,think,know,know,declarative,declarative,1,1.016,yes,victor,dinner,MOTHER: no thank you.,FATHER: mm boy.,MOTHER: [laughs],FATHER: no thanks.,MOTHER: goes with the corn on your chin.,"FATHER: orange and yellow, it's very... sunny ya know.",CHILD: no?,MOTHER: no thanks.,MOTHER: I'm debating whether to tell you guys you can come to the dinner tomorrow night.,FATHER: [laughs] don't do me any favors...,MOTHER: I know it's not a big favor [laughs].,MOTHER: that's why I'm debating.,FATHER: [laughs],666,know-declarative-declarative
she knows I'm going away.,victor dinner.cha,3667,knows,thinks,know,knows,declarative,declarative,3,1.001,no,victor,dinner,MOTHER: you [noise] can do that but the next week I will not be here.,MOTHER: I will be on the vineyard.,FATHER: [noise],MOTHER: and I have him.,MOTHER: I come back Saturday.,CHILD: eee!,FATHER: [clears throat],FATHER: that's convenient [laughs].,MOTHER: [laughs],MOTHER: um Alice might keep him.,MOTHER: she knows I'm going away.,MOTHER: she's agreed to... help out.,MOTHER: or whatever.,666,know-declarative-declarative
"I know I hate those things too, artificial corn holders.",victor dinner.cha,1846,know,think,know,know,declarative,declarative,1,1.02,no,victor,dinner,MOTHER: [laugh]s they'd like you to [laughs] schedule it more than… an hour ahead.,MOTHER: ...except it's on my calendar.,MOTHER: she understood.,FATHER: [grunts],MOTHER: [laughs],FATHER: mm [noise].,FATHER: [grunts],MOTHER: she said they call you the night…,MOTHER: they call you one night... during the week before you come and talk about the school and do a whole thing… about the philosophy to see if you're really interested… which makes sense.,CHILD: I want those things out.,"MOTHER: I know I hate those things too, artificial corn holders.",FATHER: well…,FATHER: [grunts],666,know-declarative-declarative
and I know you like little books.,victor mothertoy.cha,1812,know,think,know,know,declarative,declarative,1,1.004,no,victor,mother,MOTHER: may I see?,CHILD: don't take a peek.,MOTHER: [laughs] take a peek?,CHILD: no.,MOTHER: don't take a peek.,MOTHER: would you like a story?,"CHILD: what, Mama?",MOTHER: would you like a story?,CHILD: yeah.,MOTHER: I saw a little tiny book over here.,MOTHER: and I know you like little books.,CHILD: where?,MOTHER: over here.,666,know-declarative-declarative
I know you do.,victor mothertoy.cha,195,know,think,know,know,declarative,declarative,1,1.008,yes,victor,mother,CHILD: soup?,MOTHER: maybe.,MOTHER: soup.,CHILD: soup.,CHILD: what's this?,MOTHER: that is…,CHILD: what?,MOTHER: stuff you put in milk.,MOTHER: it's terrible it's all sugar.,CHILD: I like sugar.,MOTHER: I know you do.,"CHILD: what's this, Mama?",MOTHER: that you know.,666,know-declarative-declarative
"no, did you think that Mommy would be or is it somebody else?",wanda dinner.cha,903,know,think,think,think,interrogative,declarative,2,5.117,yes,wanda,dinner,FATHER: yeah it...  you just turned it and it came out?,CHILD: yeah.,FATHER: you just turned it on once?,CHILD: yeah I tried to put it back because I thought…,FATHER: [laughs],MOTHER: [laughs],CHILD: she would be mad at me.,MOTHER: so you fixed it?,MOTHER: you thought I'd be mad at you?,MOTHER: now I'm not understanding.,"FATHER: no, did you think that Mommy would be or is it somebody else?",CHILD: Mommy would be mad.,FATHER: oh.,666,think-interrogative-declarative
you think it sits there and holds up the car maybe?,wanda fathertoy.cha,632,know,think,think,think,interrogative,declarative,2,5.022,yes,wanda,father,FATHER: what is this?,FATHER: I don't know what this is.,"FATHER: okay, go ahead.",CHILD: what ya hafta do?,FATHER: I'm not quite sure.,CHILD: I think you hafta hold that.,"FATHER: oh, I see what this is.","FATHER: oh, this was a jack.",CHILD: what does it do?,FATHER: I think... I think that's what I thought it was.,FATHER: you think it sits there and holds up the car maybe?,CHILD: yeah.,FATHER: okay.,666,think-interrogative-declarative
uh oh now I know why they call it a take apart car [laughs]!,wanda mothertoy.cha,481,know,think,know,know,declarative,interrogative,1,3.002,no,wanda,mother,MOTHER: you want to make it looser if you want to take it apart.,CHILD: oh [coughs].,CHILD: I wonder if the door's locked.,"MOTHER: oh, no.",MOTHER: it's not locked.,MOTHER: it's just closed so that people walking up and down the hall won't bother us.,CHILD: oh.,MOTHER: that's one more.,"MOTHER: okay, who's going to take the tire off, me or you?",MOTHER: you.,MOTHER: uh oh now I know why they call it a take apart car [laughs]!,MOTHER: that's one whole side of the car taken apart.,"MOTHER: here, we've got one more side of the car to take apart.",666,know-declarative-interrogative
"I know what goes back here, Lisa.",wanda mothertoy.cha,1000,know,think,know,know,declarative,interrogative,1,3.016,yes,wanda,mother,CHILD: Lisa.,"MOTHER: Debbie and Lisa, the two mechanics?",CHILD: yeah.,"MOTHER: okay, Debbie...  Debbie what do think we.",CHILD: Debra.,MOTHER: should do?,CHILD: uh.,MOTHER: to fix this car?,CHILD: I don't know.,"MOTHER: um, let's see if I can remember what goes back here.","MOTHER: I know what goes back here, Lisa.",MOTHER: Debbie…,MOTHER: who are you?,666,know-declarative-interrogative
"oh, I thought you did.",xavia fathertoy.cha,2058,knew,thought,think,thought,declarative,declarative,1,2.209,yes,xavia,father,CHILD: how do ya get this back out?,CHILD: how do you get this in?,CHILD: there.,CHILD: it's in.,FATHER: okay.,CHILD: I got the jack!,"FATHER: well, wait.",FATHER: you didn't put the tire on.,FATHER: don't you know?,"CHILD: yeah, I know.","FATHER: oh, I thought you did.",FATHER: ...I think it's all set.,CHILD: you're right.,666,think-declarative-declarative
I think you fixed everything.,xavia mothertoy.cha,578,know,think,think,think,declarative,declarative,1,2.076,yes,xavia,mother,CHILD: okay.,CHILD: it's alright…,CHILD: I think it is…,"CHILD: oh good, Paul.",CHILD: I'm such a…,"CHILD: there, that's that.",CHILD: uh now… I can put the driver back in the car and I can get driving.,"CHILD: oh, I forgot something.",MOTHER: have you forgotten something.,"MOTHER: I can't think of anything, can you?",MOTHER: I think you fixed everything.,CHILD: that.,CHILD: no I didn't.,666,think-declarative-declarative
